Divisions,Station,Garda,Sergt,Insp,Superintendent,chief_superintendent,Assistant_Commissioner,Grand Total,year
CAVAN / MONAGHAN,BAILIEBORO,29,8,1,1,,,39,2012
CAVAN / MONAGHAN,BALLYJAMESDUFF,3,1,,,,,4,2012
CAVAN / MONAGHAN,COOTEHILL,8,1,,,,,9,2012
CAVAN / MONAGHAN,KINGSCOURT,1,1,,,,,2,2012
CAVAN / MONAGHAN,MULLAGH,2,,,,,,2,2012
CAVAN / MONAGHAN,SHERCOCK,1,,,,,,1,2012
CAVAN / MONAGHAN,VIRGINIA,10,2,,,,,12,2012
CAVAN / MONAGHAN,BALLYCONNELL,19,5,,1,,,25,2012
CAVAN / MONAGHAN,BAWNBOY,1,,,,,,1,2012
CAVAN / MONAGHAN,BELTURBET,3,1,,,,,4,2012
CAVAN / MONAGHAN,BLACKLION,2,1,,,,,3,2012
CAVAN / MONAGHAN,DOWRA,1,,,,,,1,2012
CAVAN / MONAGHAN,KILLESHANDRA,1,,,,,,1,2012
CAVAN / MONAGHAN,SWANLINBAR,1,,,,,,1,2012
CAVAN / MONAGHAN,BALLYBAY,3,1,,,,,4,2012
CAVAN / MONAGHAN,CARRICKMACROSS,35,10,,1,,,46,2012
CAVAN / MONAGHAN,CASTLEBLANEY,21,3,,,,,24,2012
CAVAN / MONAGHAN,CORRINSHIGAGH,1,,,,,,1,2012
CAVAN / MONAGHAN,ROCKCORRY,1,,,,,,1,2012
CAVAN / MONAGHAN,SHANTONAGH,1,,,,,,1,2012
CAVAN / MONAGHAN,ARVA,2,1,,,,,3,2012
CAVAN / MONAGHAN,BALLINAGH,1,1,,,,,2,2012
CAVAN / MONAGHAN,CAVAN,49,9,2,1,,,61,2012
CAVAN / MONAGHAN,KILNALECK,3,1,,,,,4,2012
CAVAN / MONAGHAN,REDHILLS,1,,,,,,1,2012
CAVAN / MONAGHAN,CLONES,5,1,,,,,6,2012
CAVAN / MONAGHAN,EMYVALE,3,1,,,,,4,2012
CAVAN / MONAGHAN,MONAGHAN,64,14,1,2,1,,82,2012
CAVAN / MONAGHAN,NEWBLISS,1,,,,,,1,2012
CAVAN / MONAGHAN,SCOTSTOWN,1,1,,,,,2,2012
CLARE,CRUSHEEN,1,,,,,,1,2012
CLARE,ENNIS,94,13,2,,1,,110,2012
CLARE,IMMIGRATION OFFICE,4,,,,,,4,2012
CLARE,NEWMARKET ON FERGUS,3,,,,,,3,2012
CLARE,QUIN,1,,,,,,1,2012
CLARE,SHANNON,53,8,1,,,,62,2012
CLARE,SIXMILEBRIDGE,3,1,,,,,4,2012
CLARE,BALLYVAUGHAN,1,,,,,,1,2012
CLARE,COROFIN,1,,,,,,1,2012
CLARE,ENNISTYMON,24,3,,1,,,28,2012
CLARE,INAGH,1,,,,,,1,2012
CLARE,LISDOONVARNA,1,,,,,,1,2012
CLARE,MILTOWN MALBAY,2,,,,,,2,2012
CLARE,BROADFORD,1,,,,,,1,2012
CLARE,KILLALOE,26,3,1,,,,30,2012
CLARE,SCARIFF,3,1,,,,,4,2012
CLARE,TULLA,2,,,,,,2,2012
CLARE,KILDYSART,2,,,,,,2,2012
CLARE,KILKEE,3,,,,,,3,2012
CLARE,KILMIHIL,1,,,,,,1,2012
CLARE,KILRUSH,26,4,,1,,,31,2012
CORK CITY,ANGLESEA STREET,215,44,8,2,1,1,271,2012
CORK CITY,BARRACK STREET,13,4,,,,,17,2012
CORK CITY,BLACKROCK,28,5,,,,,33,2012
CORK CITY,BRIDEWELL,18,6,,,,,24,2012
CORK CITY,BALLINCOLLIG,22,2,,,,,24,2012
CORK CITY,BLARNEY,14,2,,,,,16,2012
CORK CITY,GURRANABRAHER,46,7,1,1,,,55,2012
CORK CITY,RATHDUFF GRENAGH,2,,,,,,2,2012
CORK CITY,MALLOW ROAD,4,2,,,,,6,2012
CORK CITY,MAYFIELD,41,8,1,1,,,51,2012
CORK CITY,WATERCOURSE ROAD,44,6,,,,,50,2012
CORK CITY,BISHOPSTOWN,19,3,,,,,22,2012
CORK CITY,CARRIGALINE,17,2,,,,,19,2012
CORK CITY,CROSSHAVEN,2,1,,,,,3,2012
CORK CITY,DOUGLAS,21,5,,,,,26,2012
CORK CITY,PASSAGE WEST,2,1,,,,,3,2012
CORK CITY,TOGHER,46,7,1,1,,,55,2012
CORK NORTH,CARRIG NA BHFEAR,2,,,,,,2,2012
CORK NORTH,CARRIGTWOHILL,2,1,,,,,3,2012
CORK NORTH,COBH,29,6,1,1,,,37,2012
CORK NORTH,GLANMIRE,19,4,,,,,23,2012
CORK NORTH,WATERGRASSHILL,1,,,,,,1,2012
CORK NORTH,BALLYNOE,1,,,,,,1,2012
CORK NORTH,CASTLETOWNROCHE,2,,,,,,2,2012
CORK NORTH,FERMOY,47,9,1,1,1,,59,2012
CORK NORTH,KILDORRERY,1,,,,,,1,2012
CORK NORTH,KILWORTH,2,,,,,,2,2012
CORK NORTH,MITCHELSTOWN,19,3,,,,,22,2012
CORK NORTH,RATHCORMAC,1,,,,,,1,2012
CORK NORTH,BUTTEVANT,1,,,,,,1,2012
CORK NORTH,CHARLEVILLE,14,3,,,,,17,2012
CORK NORTH,DONERAILE,2,,,,,,2,2012
CORK NORTH,GLANTAINE,1,,,,,,1,2012
CORK NORTH,LISCARROLL,1,,,,,,1,2012
CORK NORTH,MALLOW,41,7,,1,,,49,2012
CORK NORTH,MILFORD,1,,,,,,1,2012
CORK NORTH,BALLYCOTTON,1,,,,,,1,2012
CORK NORTH,CLOYNE,1,,,,,,1,2012
CORK NORTH,KILLEAGH,1,,,,,,1,2012
CORK NORTH,MIDLETON,39,8,2,1,,,50,2012
CORK NORTH,WHITEGATE,1,,,,,,1,2012
CORK NORTH,YOUGHAL,18,5,,,,,23,2012
CORK WEST,BALLINEEN,2,,,,,,2,2012
CORK WEST,BALLINHASSIG,2,,,,,,2,2012
CORK WEST,BANDON,65,12,3,1,1,,82,2012
CORK WEST,INNISHANNON,1,,,,,,1,2012
CORK WEST,KILBRITTAIN,1,,,,,,1,2012
CORK WEST,KINSALE,13,3,,,,,16,2012
CORK WEST,TIMOLEAGUE,1,,,,,,1,2012
CORK WEST,BANTRY,28,5,1,,,,34,2012
CORK WEST,CASTLETOWNBERE,4,1,,,,,5,2012
CORK WEST,DRIMOLEAGUE,1,,,,,,1,2012
CORK WEST,DURRUS,1,,,,,,1,2012
CORK WEST,GLENGARRIFF,1,,,,,,1,2012
CORK WEST,KEALKIL,1,,,,,,1,2012
CORK WEST,SCHULL,3,1,,,,,4,2012
CORK WEST,BALTIMORE,1,,,,,,1,2012
CORK WEST,CLONAKILTY,22,3,,1,,,26,2012
CORK WEST,DRINAGH,1,,,,,,1,2012
CORK WEST,DUNMANWAY,8,1,,,,,9,2012
CORK WEST,ROSSCARBERY,2,,,,,,2,2012
CORK WEST,SKIBBEREEN,10,2,,,,,12,2012
CORK WEST,BOHERBUE,1,,,,,,1,2012
CORK WEST,KANTURK,24,3,1,,,,28,2012
CORK WEST,MEELIN,1,,,,,,1,2012
CORK WEST,MILLSTREET,11,2,,,,,13,2012
CORK WEST,NEWMARKET,,1,,,,,1,2012
CORK WEST,RATHMORE,2,,,,,,2,2012
CORK WEST,BAILE BHUIRNE,2,1,,,,,3,2012
CORK WEST,BÉAL ÁTHA AN GHAORTHA,2,,,,,,2,2012
CORK WEST,COACHFORD,1,1,,,,,2,2012
CORK WEST,CROOKSTOWN,4,1,,,,,5,2012
CORK WEST,MACROOM,34,6,,1,,,41,2012
CORK WEST,STUAKE,1,,,,,,1,2012
CORK WEST,TARELTON,1,,,,,,1,2012
D.M.R. EAST,BLACKROCK,68,10,3,1,,,82,2012
D.M.R. EAST,DUNDRUM,65,8,1,,,,74,2012
D.M.R. EAST,STEPASIDE,32,3,,,,,35,2012
D.M.R. EAST,CABINTEELY,34,4,1,,,,39,2012
D.M.R. EAST,DUN LAOGHAIRE,80,15,2,2,1,,100,2012
D.M.R. EAST,KILL-O-GRANGE,23,2,,,,,25,2012
D.M.R. EAST,SHANKILL,56,9,,,,,65,2012
D.M.R. NORTH,BALBRIGGAN,58,7,3,1,,,69,2012
D.M.R. NORTH,GARRISTOWN,2,,,,,,2,2012
D.M.R. NORTH,LUSK,7,1,,,,,8,2012
D.M.R. NORTH,SKERRIES,10,1,,,,,11,2012
D.M.R. NORTH,BALLYMUN,96,16,3,2,1,,118,2012
D.M.R. NORTH,DUBLIN AIRPORT,27,4,,,,,31,2012
D.M.R. NORTH,SANTRY,89,12,1,,,,102,2012
D.M.R. NORTH,COOLOCK,97,12,4,1,,,114,2012
D.M.R. NORTH,MALAHIDE,31,3,,,,,34,2012
D.M.R. NORTH,SWORDS,64,12,1,,,,77,2012
D.M.R. NORTH,CLONTARF,64,7,1,,,,72,2012
D.M.R. NORTH,HOWTH,35,6,1,,,,42,2012
D.M.R. NORTH,RAHENY,54,7,2,1,,,64,2012
D.M.R. NORTH CENTRAL,BRIDEWELL,138,29,6,1,,,174,2012
D.M.R. NORTH CENTRAL,MOUNTJOY,179,23,4,1,,,207,2012
D.M.R. NORTH CENTRAL,IMMIGRATION D/DOCKS,5,,,,,,5,2012
D.M.R. NORTH CENTRAL,STORE STREET,234,27,4,2,1,,268,2012
D.M.R. SOUTH,CRUMLIN,75,16,4,2,1,,98,2012
D.M.R. SOUTH,SUNDRIVE ROAD,57,10,,,,,67,2012
D.M.R. SOUTH,RATHMINES,57,6,,,,,63,2012
D.M.R. SOUTH,TERENURE,79,15,3,1,,,98,2012
D.M.R. SOUTH,RATHFARNHAM,67,7,,,,,74,2012
D.M.R. SOUTH,TALLAGHT,162,20,5,1,,,188,2012
D.M.R. SOUTH CENTRAL,DONNYBROOK,104,12,2,1,,,119,2012
D.M.R. SOUTH CENTRAL,IRISHTOWN,43,6,1,,,,50,2012
D.M.R. SOUTH CENTRAL,KEVIN STREET,123,15,4,1,,,143,2012
D.M.R. SOUTH CENTRAL,KILMAINHAM,65,12,1,,,,78,2012
D.M.R. SOUTH CENTRAL,PEARSE STREET,270,33,4,2,1,,310,2012
D.M.R. WEST,BLANCHARDSTOWN,139,18,2,2,1,,162,2012
D.M.R. WEST,CABRA,75,10,,,,,85,2012
D.M.R. WEST,FINGLAS,101,13,3,,,,117,2012
D.M.R. WEST,BALLYFERMOT,80,11,2,,,,93,2012
D.M.R. WEST,CLONDALKIN,79,12,3,1,,,95,2012
D.M.R. WEST,RATHCOOLE,25,1,,,,,26,2012
D.M.R. WEST,LUCAN,61,7,4,1,,,73,2012
D.M.R. WEST,RONANSTOWN,80,12,1,,,,93,2012
DONEGAL,BALLINTRA,1,,,,,,1,2012
DONEGAL,BALLYSHANNON,37,6,1,1,,,45,2012
DONEGAL,BUNDORAN,5,1,,,,,6,2012
DONEGAL,DONEGAL TOWN,27,5,,,,,32,2012
DONEGAL,MOUNTCHARLES,1,,,,,,1,2012
DONEGAL,NA CEALLA BEAGA,5,1,,,,,6,2012
DONEGAL,BUNCRANA,44,7,1,1,,,53,2012
DONEGAL,BURNFOOT,5,1,,,,,6,2012
DONEGAL,CARNDONAGH,2,1,,,,,3,2012
DONEGAL,CLONMANY,2,,,,,,2,2012
DONEGAL,MALIN,1,,,,,,1,2012
DONEGAL,MOVILLE,4,,,,,,4,2012
DONEGAL,MUFF,2,1,,,,,3,2012
DONEGAL,AILT AN CHORRÁIN,1,,,,,,1,2012
DONEGAL,AN BUN BEAG,12,2,,,,,14,2012
DONEGAL,AN CHARRAIG,1,1,,,,,2,2012
DONEGAL,AN CLOCHÁN LIATH,10,2,,,,,12,2012
DONEGAL,ANAGAIRE,1,,,,,,1,2012
DONEGAL,ARD AN RÁTHA,2,,,,,,2,2012
DONEGAL,GLEANN CHOLM CILLE,1,,,,,,1,2012
DONEGAL,NA GLEANNTA,15,3,,1,,,19,2012
DONEGAL,BALLYBOFEY,21,2,,,,,23,2012
DONEGAL,CARRIGANS,4,1,,,,,5,2012
DONEGAL,CASTLEFIN,3,1,,,,,4,2012
DONEGAL,CONVOY,2,1,,,,,3,2012
DONEGAL,LETTERKENNY,87,14,4,1,1,,107,2012
DONEGAL,LIFFORD,13,2,,,,,15,2012
DONEGAL,NEWTOWNCUNNINGHAM,2,,,,,,2,2012
DONEGAL,RAPHOE,3,1,,,,,4,2012
DONEGAL,AN CRAOSLACH,1,,,,,,1,2012
DONEGAL,AN FÁL CARRACH,8,1,,,,,9,2012
DONEGAL,CARRAIG AIRT,2,,,,,,2,2012
DONEGAL,DÚN FIONNACHAID,2,,,,,,2,2012
DONEGAL,KERRYKEEL,3,1,,,,,4,2012
DONEGAL,KILMACRENNAN,1,,,,,,1,2012
DONEGAL,MILFORD,24,1,,1,,,26,2012
DONEGAL,MÍN AN LÁBÁIN,1,,,,,,1,2012
DONEGAL,RAMELTON,2,,,,,,2,2012
DONEGAL,RATHMULLEN,1,,,,,,1,2012
GALWAY,BALLINASLOE,35,5,,1,,,41,2012
GALWAY,BALLYGAR,1,,,,,,1,2012
GALWAY,CREGGS,1,,,,,,1,2012
GALWAY,KILCONNELL,1,,,,,,1,2012
GALWAY,MOUNT BELLEW,6,2,,,,,8,2012
GALWAY,MOYLOUGH,1,,,,,,1,2012
GALWAY,AN MÁM,2,,,,,,2,2012
GALWAY,CARNA,1,1,,,,,2,2012
GALWAY,CLIFDEN,23,4,,1,,,28,2012
GALWAY,CLOCH NA RÓN,1,,,,,,1,2012
GALWAY,LENNAUN,1,,,,,,1,2012
GALWAY,LETTERFRACK,1,,,,,,1,2012
GALWAY,SRAITH SALACH,1,,,,,,1,2012
GALWAY,ATHENRY,4,1,,,,,5,2012
GALWAY,GAILLIMH,175,27,5,3,1,1,212,2012
GALWAY,KILTULLAGH,1,,,,,,1,2012
GALWAY,LOUGH GEORGE,3,1,,,,,4,2012
GALWAY,MONIVEA,1,,,,,,1,2012
GALWAY,ÓRÁN MÓR,32,2,,,,,34,2012
GALWAY,ARDRAHAN,1,,,,,,1,2012
GALWAY,CRAUGHWELL,4,1,,,,,5,2012
GALWAY,GORT,25,3,,1,,,29,2012
GALWAY,KILCHREEST,1,,,,,,1,2012
GALWAY,KILCOLGAN,1,,,,,,1,2012
GALWAY,KINVARA,1,1,,,,,2,2012
GALWAY,EYRECOURT,1,,,,,,1,2012
GALWAY,KILLIMOR,1,,,,,,1,2012
GALWAY,KILRICKLE,1,,,,,,1,2012
GALWAY,LOUGHREA,32,7,1,1,,,41,2012
GALWAY,PORTUMNA,6,2,,,,,8,2012
GALWAY,TYNAGH,1,,,,,,1,2012
GALWAY,WOODFORD,1,,,,,,1,2012
GALWAY,AN CHEATHRÚ RUA,5,1,,,,,6,2012
GALWAY,AN SPIDÉAL,2,1,,,,,3,2012
GALWAY,CILL RÓNÁIN,2,1,,,,,3,2012
GALWAY,INDREABHÁN,1,,,,,,1,2012
GALWAY,LEITIR MÓIR,1,,,,,,1,2012
GALWAY,MAIGH CUILINN,2,,,,,,2,2012
GALWAY,ROS MUC,1,,,,,,1,2012
GALWAY,SALTHILL,45,7,1,1,,,54,2012
GALWAY,UACHTARARD,4,1,,,,,5,2012
GALWAY,BARNADERG,1,,,,,,1,2012
GALWAY,COROFIN,1,1,,,,,2,2012
GALWAY,DUNMORE,4,2,,,,,6,2012
GALWAY,GLENAMADDY,1,,,,,,1,2012
GALWAY,HEADFORD,3,1,,,,,4,2012
GALWAY,MILLTOWN,1,,,,,,1,2012
GALWAY,TUAM,44,8,1,1,,,54,2012
GALWAY,WILLIAMSTOWN,1,,,,,,1,2012
KERRY,BAILE AN SCEILG,1,,,,,,1,2012
KERRY,CAHERCIVEEN,17,2,,,,,19,2012
KERRY,CASTLEMAINE,1,,,,,,1,2012
KERRY,GLENBEIGH,1,,,,,,1,2012
KERRY,KILLORGLIN,10,2,,,,,12,2012
KERRY,PORTMAGEE,1,,,,,,1,2012
KERRY,SNEEM,1,,,,,,1,2012
KERRY,VALENTIA ISLAND,1,,,,,,1,2012
KERRY,BEAUFORT,1,,,,,,1,2012
KERRY,CASTLEISLAND,20,4,,,,,24,2012
KERRY,FARRANFORE,2,,,,,,2,2012
KERRY,KENMARE,8,1,,,,,9,2012
KERRY,KILGARVAN,1,,,,,,1,2012
KERRY,KILLARNEY,46,6,,1,,,53,2012
KERRY,BALLYBUNION,5,1,,,,,6,2012
KERRY,BALLYDUFF,1,,,,,,1,2012
KERRY,BALLYHEIGUE,1,,,,,,1,2012
KERRY,BROSNA,1,,,,,,1,2012
KERRY,KNOCKNAGOSHALL,1,,,,,,1,2012
KERRY,LISTOWEL,32,7,1,1,,,41,2012
KERRY,LIXNAW,1,,,,,,1,2012
KERRY,TARBERT,2,,,,,,2,2012
KERRY,ABBEYDORNEY,1,,,,,,1,2012
KERRY,AN DAINGEAN,8,2,,,,,10,2012
KERRY,ANNASCAUL,1,,,,,,1,2012
KERRY,ARDFERT,2,,,,,,2,2012
KERRY,BAILE AN FHEIRTÉARAIG,1,,,,,,1,2012
KERRY,CASTLEGREGORY,2,,,,,,2,2012
KERRY,FENIT,1,,,,,,1,2012
KERRY,TRALEE,81,15,1,1,1,,99,2012
KILDARE,ATHY,28,5,1,,,,34,2012
KILDARE,BALLYTORE,1,,,,,,1,2012
KILDARE,CASTLEDERMOT,2,1,,,,,3,2012
KILDARE,KILDARE,22,4,,1,,,27,2012
KILDARE,MONASTEREVIN,3,1,,,,,4,2012
KILDARE,NEWBRIDGE,43,7,,,,,50,2012
KILDARE,RATHANGAN,3,,,,,,3,2012
KILDARE,CARBURY,5,,,,,,5,2012
KILDARE,CELBRIDGE,15,2,,,,,17,2012
KILDARE,KILCOCK,9,1,,,,,10,2012
KILDARE,LEIXLIP,25,4,1,,,,30,2012
KILDARE,MAYNOOTH,13,1,,,,,14,2012
KILDARE,BALLYMORE EUSTACE,2,,,,,,2,2012
KILDARE,CLANE,8,1,,,,,9,2012
KILDARE,KILCULLEN,2,,,,,,2,2012
KILDARE,KILL,1,1,,,,,2,2012
