id,geogid
2060,M2102D
20376,M4507A
20488,M5255H
20476,M5242F
20643,M6547A
20648,M6552H
2013,M1712C
2044,M1970D
2039,M1903H
203,M1900C
2045,M1971B
2042,M1932A
20364,M4473C
20369,M4500D
20373,M4504G
20291,M3908L
20183,m3073b
20200,m3201h
20205,m3207g
20203,m3205m
20162,m2900k
20163,m2901g
2040,m1930e
20184,m3074m
20164,m2902e
2041,m1931c
2043,m1933l
20202,m3203d
20201,m3202f
20204,m3206k
20167,m2905l
20168,m2906h
20199,m3200l
20193,m3171b
20186,m3101a
20181,m3071f
20198,m3176c
20197,m3175e
20194,m3172m
20175,m3003a
20191,m3106b
20182,m3072d
20195,m3173k
20185,m3100c
20187,m3102l
20177,m3005h
20180,m3070h
20176,m3004l
20192,m3170d
20190,m3105d
20189,m3104f
20179,m3007d
20178,m3006f
20173,m3001e
20172,m3000g
2089,m2370a
2091,m2372h
20107,m2474m
20108,m2475k
2088,m2305a
2093,m2374d
2084,m2301k
2085,m2302g
2094,m2375b
2083,m2300m
20109,m2476g
2086,m2303e
22222,m2373f
20217,m3375h
20218,m3376f
20334,m4206d
20216,m3374l
20214,m3371e
20213,m3370g
20207,m3301d
20208,m3302b
20221,m3401m
20222,m3402k
20223,m3403g
20226,m3406a
20219,m3377d
20209,m3303m
20224,m3404e
20225,m3405c
20215,m3372c
20220,m3400b
20206,m3300f
20259,m3701l
20266,m3771m
20244,m3601c
20260,m3702h
20285,m3875l
20265,m3772k
20277,m3805k
20258,m3700a
20284,m3874a
20256,m3675g
20262,m3704d
20263,m3705b
20251,m3670f
20267,m3773g
20268,m3774e
20282,m3872e
20255,m3674k
20283,m3873c
20245,m3602a
20246,m3603l
20252,m3671d
20250,m3607b
20133,m2608e
20279,m3807e
20275,m3803b
20253,m3672b
20264,m3770b
20702,m6171k
20269,m3775c
20274,m3802d
20278,m3806g
20276,m3804m
20272,m3800h
20273,m3801f
20243,m3600e
20280,m3870k
20270,m3776a
20695,m6905a
20599,m6270g
20605,m6300b
20696,m6906l
20593,m6201d
20595,m6203m
20608,m6303g
20564,m5976e
20598,m6206e
20601,m6272c
20615,m6373h
20612,m6370c
20610,m6305c
20602,m6273a
20597,m6205g
20594,m6202b
20592,m6200f
20600,m6271e
20515,m5601d
20538,m5771a
20539,m5772l
2095,m2376m
20530,m5700b
20537,m5770c
20528,m5677d
2097,m2401e
20105,m2472d
20533,m5703g
20534,m5704e
20103,m2470h
20535,m5705c
2098,m2402c
20101,m2405h
2096,m2400g
20611,m6306a
20514,m5600f
20106,m2473b
20517,m5603m
20527,m5676f
20536,m5706a
2077,m2040m
2061,m2179b
2081,m2273l
2065,m2041k
2067,m2042g
2071,m2178d
2058,m2100h
2051,m2006m
2068,m2175l
2078,m2270e
2063,m2106g
2062,m2104m
2082,m2274h
2070,m2177f
2064,m2170k
20554,m5903l
20562,m5970f
20574,m6072m
20576,m6074g
20570,m6004f
20584,m6104b
20569,m6003h
20566,m6000c
20561,m5973m
20551,m5900e
20582,m6102f
20572,m6070d
20577,m6075e
20558,m5974k
20585,m6105m
20571,m6005d
20588,m6172g
20591,m6175a
20583,m6103d
20559,m5971d
20573,m6071b
20581,m6101h
20575,m6073k
20590,m6174c
20587,m5132b
20555,m5904h
20578,m6076c
20580,m6100l
20586,m6170m
2079,m2271c
20703,m2076a
2053,m2071m
2048,m2002h
2049,m2004d
2080,m2272a
2047,m2000a
2055,m2073g
2052,m2070b
2050,m2005b
2054,m2072k
2057,m2075c
2056,m2074e
20441,m4971k
20424,m4881l
20414,m4803h
20423,m4880a
20444,m4977h
20442,m4973e
20433,m4902f
20421,m4876c
20431,m4900l
20435,m4905m
20422,m4877a
20438,m4912c
20416,m4802l
20426,m4883f
20327,m4177g
20427,m4884d
20428,m4885b
20417,m4800c
20434,m4903d
20436,m4906k
20418,m4804f
20439,m4913a
20440,m4970m
20286,m3876h
20437,m4907g
20425,m4882h
20420,m4872m
20430,m4887k
20419,m4870d
20117,m2570d
20122,m2575e
20121,m2574g
20126,m2601h
20125,m2600l
20124,m2577a
20135,m2671k
20127,m2602f
20116,m2505d
20136,m2672g
20137,m2673e
20119,m2572m
20138,m2674c
20128,m2603d
20129,m2604b
20130,m2605m
20112,m2501a
20113,m2502l
20114,m2503h
20111,m2500c
20120,m2573k
20139,m2675a
20131,m2606k
20115,m2504f
20134,m2670m
20157,m2803g
20238,m3574b
20235,m3571h
20242,m3578e
20230,m3502e
20154,m2800b
20231,m3503c
20229,m3501g
20211,m3305g
20232,m3504a
20236,m3572f
20169,m2907f
20228,m3500k
20212,m3306e
20240,m3576k
20210,m3304k
20159,m2805c
20241,m3577g
20158,m2804e
20257,m3676e
20170,m2908d
20237,m3573d
20234,m3570l
20156,m2910f
20249,m3606d
20160,m2806a
20153,m2777d
20161,m2807l
20142,m2701d
20143,m2702b
2069,m2043e
20148,m2772c
20146,m2770g
2011,m1711f
20145,m2704k
20149,m2773a
20141,m2700f
20150,m2774l
20151,m2775h
20147,m2771e
20393,m4656f
20383,m4638h
20378,m4601k
20384,m4639f
20407,m4773b
20408,m4774m
20405,m4771f
20401,m4706f
20387,m4650g
20382,m4637l
20399,m4703a
20395,m4658b
20381,m4635c
20400,m4704l
20390,m4653a
20398,m4702c
20396,m4700g
20392,m4655h
20410,m4776g
20404,m4770h
20411,m4777e
20391,m4654l
20394,m4657d
20413,m4779a
20379,m4600m
20522,m5671e
20500,m5352l
20503,m5355d
20508,m5401a
20480,m5247g
20521,m5670g
20520,m5606e
20550,m5807f
20505,m5357m
20487,m5254l
20506,m5358k
20483,m5250g
20489,m5256f
20549,m5806h
20509,m5402l
20519,m5605g
20548,m5805l
20495,m5306f
20475,m5240l
20547,m5804a
20507,m5400c
20479,m5245m
20502,m5354f
20523,m5672c
20492,m5303a
20497,m5308b
20524,m5673a
20510,m5403h
20478,m5244b
20504,m5356b
20485,m5252c
20490,m5300g
20499,m5351a
20545,m5802e
20481,m5248e
20526,m5675h
20529,m5678b
20498,m5350c
20496,m5307d
20501,m5353h
20484,m5251e
20543,m5800k
20544,m5801g
20493,m5304l
20700,m6554d
20649,m6553f
20653,m6558g
20652,m6557k
20642,m6546c
20656,m6601l
20626,m6407f
20655,m6600a
20628,m6470l
20657,m6602h
20629,m6471h
20630,m6472f
20637,m6541b
20620,m6401g
20621,m6402e
20650,m6555b
20631,m6473d
20627,m6408d
20658,m6603f
20641,m6545e
20638,m6542m
20640,m6543k
20619,m6400k
20625,m6406h
20636,m6540d
20697,m6637m
20634,m6476k
20635,m6477g
20661,m6636b
20646,m6550a
20623,m6404a
20659,m6604d
20644,m6548l
20624,m6405l
20645,m6549h
209,m1720e
2031,m1700m
2028,m1701k
2012,m1721c
2030,m1702g
2010,m1710h
2014,m1723l
207,m1300e
2015,m1370f
2017,m1470b
208,m1301c
2016,m1372b
2018,m1471m
205,m1200k
206,m1201g
2036,m1070g
204,m1071e
201,m1000f
2072,m2200d
2021,m1502d
2027,m1571g
2023,m1530l
2022,m1503b
2076,m2204g
2029,m1572e
2074,m2202m
2024,m1531h
2026,m1570k
2019,m1500h
2073,m2201b
2025,m1532f
2035,m3902m
2033,m1830k
2034,m1831g
2032,m1800g
20365,m4474a
20338,m4303f
20337,M4302H
20349,m4376a
20370,m4501b
20357,m4404m
20335,m4300a
20343,m4370b
20371,m4502m
20351,m4378h
20352,m4400h
20363,m4472e
20366,m4475l
20350,m4377l
20359,m4406g
20358,m4405k
20348,m4375c
20347,m4374e
20336,m4301l
20345,m4372k
20341,m4307k
20340,m4305b
20361,m4470k
20374,m4505e
20354,m4401f
20344,m4371m
20355,m4402d
20362,m4471g
20368,m4477f
20342,m4308g
20333,m4205f
20314,m4102e
20321,m4171h
20307,m4072l
20318,m4106h
20322,m4172f
20329,m4201c
20306,m4070c
20323,m4173d
20312,m4100k
20325,m4175m
20315,m4103c
20330,m4202a
20316,m4104a
20326,m4176k
20320,m4170l
20328,m4200e
20324,m4174b
20317,m4105l
20313,m4101g
20311,m4078k
20331,m4203l
20332,m4204h
20288,m3900d
20304,m4022c
20293,m3931d
20303,m4021e
20290,m1870h
20295,m3933m
20296,m3934k
20294,m3932b
20308,m4074f
20302,m4020g
20298,m3980b
20297,m3935g
20292,m3930f
20300,m3982k
20469,m5171c
20470,m5806h
20448,m5031h
20447,m5030l
20468,m5170e
20460,m5077f
20461,m5078d
20462,m5130f
20455,m5070k
20473,m5175f
20449,m5032f
20474,m5176d
20450,m5033d
20464,m5133m
20452,m5035m
20454,m5037g
20466,m5135g
20677,m6802m
20682,m6870e
20676,m6801b
20670,m6771g
20690,m6900m
20689,m6877b
20691,m6901k
20618,m6377m
20669,m6770k
20671,m6772e
20675,m6800d
20663,m6701f
20688,m6876d
20617,m6376b
20667,m6705k
20693,m6903e
20680,m6805e
20683,m6871c
20662,m6700h
20684,m6872a
20674,m6775l
20666,m6704m
20685,m6873l
20692,m6902g
20687,m6875f